order_id,order_date,order_time_stamp,user_id,warehouse_id,transportation_id,product_id,price_pr_unit,order_quantity
1,2022-09-30,1664557115.0,663,3,2,13,319,1
2,2022-06-06,1654491104.0,170,2,2,18,414,2
3,2021-11-24,1637776271.0,496,10,3,3,834,1
4,2022-11-20,1668908671.0,75,4,1,21,998,2
5,2022-12-19,1671488149.0,459,6,2,32,478,0
6,2022-11-16,1668555086.0,211,11,3,14,172,1
7,2022-08-06,1659757863.0,108,4,3,40,118,1
8,2021-12-15,1639560035.0,954,19,2,12,514,3
9,2022-08-17,1660709928.0,435,18,2,5,928,1
10,2023-01-29,1674955192.0,787,4,2,24,520,3
11,2022-04-19,1650364296.0,799,11,2,10,776,2
12,2022-02-15,1644928719.0,507,7,2,9,977,3
13,2021-05-08,1620459304.0,760,4,2,19,930,1
14,2022-09-13,1663046600.0,568,17,2,15,499,1
15,2022-06-07,1654622822.0,259,2,1,39,619,0
16,2023-01-26,1674765900.0,747,4,2,2,455,2
17,2021-09-20,1632161831.0,516,13,1,14,172,0
18,2022-09-02,1662094822.0,233,6,2,15,499,3
19,2023-02-10,1676055830.0,729,16,2,11,155,1
20,2021-10-28,1635429163.0,126,9,2,12,514,3
21,2022-12-30,1672390116.0,662,17,3,25,453,1
22,2022-12-24,1671863805.0,109,13,1,11,155,3
23,2022-04-15,1650009449.0,586,12,3,6,161,1
24,2021-09-10,1631260052.0,780,8,2,38,972,2
25,2023-03-06,1678131829.0,351,15,2,1,592,0
26,2022-08-30,1661836798.0,478,2,2,8,631,3
27,2023-01-30,1675076855.0,328,11,2,30,558,2
28,2022-03-05,1646453577.0,653,4,1,30,558,3
29,2022-11-03,1667479533.0,682,13,2,21,998,0
30,2022-12-18,1671356712.0,454,14,2,37,263,3
31,2021-10-21,1634805195.0,751,5,2,28,992,3
32,2022-10-27,1666865221.0,907,16,2,20,375,3
33,2022-06-04,1654329294.0,856,17,1,24,520,3
34,2021-12-03,1638525246.0,811,6,2,17,508,0
35,2023-03-08,1678293515.0,54,3,2,11,155,2
36,2021-07-19,1626719219.0,339,15,2,39,619,1
37,2022-10-16,1665948518.0,820,9,2,36,145,3
38,2022-12-28,1672239494.0,460,19,1,2,455,0
39,2022-07-25,1658760657.0,474,10,3,38,972,1
40,2022-12-22,1671706086.0,999,7,2,40,118,1
41,2022-12-31,1672484540.0,348,15,2,13,319,1
42,2022-08-08,1659962077.0,247,18,2,5,928,2
43,2022-04-17,1650165526.0,468,18,2,13,319,3
44,2022-01-16,1642364728.0,336,4,2,12,514,0
45,2022-04-22,1650631466.0,835,2,2,1,592,3
46,2022-05-13,1652424463.0,433,11,3,12,514,0
47,2022-05-10,1652153679.0,902,13,2,4,800,2
48,2022-05-13,1652408853.0,323,6,2,11,155,3
49,2022-03-15,1647380445.0,971,7,2,37,263,1
50,2022-03-27,1648408265.0,322,2,1,18,414,3
51,2022-04-08,1649396248.0,371,3,2,18,414,1
52,2023-02-24,1677227289.0,239,18,2,39,619,2
53,2022-11-30,1669801136.0,173,4,2,11,155,2
54,2022-10-24,1666572531.0,569,12,2,16,126,3
55,2022-08-06,1659758258.0,649,9,3,40,118,2
56,2022-08-31,1661935625.0,144,11,2,2,455,1
57,2022-11-03,1667512143.0,418,9,2,36,145,1
58,2022-10-25,1666674089.0,743,9,2,9,977,1
59,2023-03-16,1678951015.0,397,10,1,34,706,2
60,2021-12-19,1639894046.0,193,15,3,4,800,2
61,2021-12-25,1640430874.0,999,7,2,24,520,0
62,2022-05-05,1651775240.0,261,2,2,6,161,2
63,2022-12-09,1670568266.0,548,13,2,27,992,2
64,2021-10-26,1635210567.0,883,8,2,3,834,2
65,2022-11-23,1669177935.0,899,19,2,2,455,2
66,2022-11-03,1667473764.0,475,17,2,18,414,2
67,2021-11-29,1638170277.0,956,11,1,9,977,2
68,2022-10-14,1665740607.0,352,9,2,9,977,1
69,2022-08-28,1661686502.0,493,13,2,14,172,0
70,2023-01-12,1673502060.0,411,5,2,5,928,0
71,2021-08-30,1630314426.0,118,14,2,35,932,3
72,2022-05-05,1651746898.0,120,19,2,22,971,0
73,2023-03-07,1678185570.0,659,2,1,30,558,3
74,2022-11-02,1667403251.0,813,2,2,35,932,3
75,2022-06-07,1654602042.0,515,6,2,6,161,1
76,2022-04-23,1650680113.0,663,3,2,30,558,1
77,2023-03-06,1678131979.0,605,19,3,5,928,2
78,2023-02-19,1676796793.0,219,7,2,12,514,3
79,2023-01-23,1674452374.0,666,10,2,24,520,3
80,2022-06-25,1656176446.0,37,14,1,18,414,3
81,2022-02-03,1643873661.0,391,15,2,25,453,1
82,2021-08-30,1630299702.0,755,15,2,24,520,2
83,2022-06-30,1656612957.0,189,12,1,27,992,2
84,2023-01-09,1673247728.0,273,11,2,22,971,0
85,2022-03-06,1646530031.0,434,3,3,13,319,1
86,2023-02-25,1677304494.0,96,9,2,4,800,3
87,2022-10-21,1666306837.0,166,10,2,30,558,2
88,2022-02-18,1645166852.0,317,19,1,1,592,3
89,2021-09-12,1631453357.0,644,6,3,6,161,3
90,2022-08-23,1661253773.0,154,17,2,4,800,3
91,2022-02-18,1645199133.0,815,13,2,36,145,1
92,2022-01-15,1642257837.0,911,13,2,40,118,0
93,2021-12-02,1638444658.0,393,18,2,13,319,0
94,2023-03-04,1677942980.0,422,5,2,29,160,1
95,2021-10-10,1633868035.0,439,15,3,14,172,1
96,2022-04-23,1650742171.0,98,16,2,28,992,3
97,2023-01-01,1672602643.0,433,18,2,18,414,1
98,2023-03-01,1677679922.0,753,3,2,32,478,3
99,2023-01-23,1674476851.0,353,12,2,4,800,3
100,2022-04-16,1650088004.0,252,5,2,30,558,1
101,2022-06-24,1656038436.0,119,15,2,5,928,0
102,2022-06-18,1655544126.0,172,2,2,13,319,2
103,2023-02-24,1677225077.0,571,19,2,7,957,3
104,2022-10-27,1666830031.0,445,3,2,9,977,1
105,2021-12-14,1639445500.0,731,8,1,12,514,2
106,2022-08-23,1661268622.0,873,5,2,33,605,0
107,2022-04-29,1651222327.0,426,7,2,2,455,3
108,2022-10-17,1665972655.0,548,8,1,38,972,1
109,2022-09-22,1663878253.0,188,6,2,2,455,0
110,2021-07-02,1625225261.0,202,18,2,11,155,0
111,2022-10-27,1666883891.0,778,4,2,40,118,3
112,2021-10-20,1634689819.0,813,3,2,2,455,3
113,2021-08-19,1629409177.0,56,14,3,11,155,0
114,2022-07-20,1658335780.0,189,1,2,4,800,1
115,2021-08-25,1629899525.0,343,5,1,40,118,1
116,2022-03-01,1646127796.0,221,14,3,1,592,0
117,2022-09-20,1663649405.0,775,20,1,32,478,3
118,2022-02-24,1645684100.0,259,2,1,23,746,2
119,2023-02-27,1677455624.0,581,9,2,29,160,3
120,2022-04-30,1651271281.0,538,2,2,22,971,3
121,2022-09-05,1662358702.0,786,4,3,24,520,2
122,2022-07-02,1656719951.0,144,18,2,4,800,3
123,2021-08-03,1627980881.0,624,11,2,9,977,0
124,2021-09-10,1631242274.0,249,16,2,28,992,3
125,2022-04-12,1649722517.0,466,12,2,7,957,2
126,2022-12-28,1672207868.0,55,11,1,37,263,1
127,2022-05-02,1651449079.0,66,18,2,28,992,0
128,2022-02-04,1643969729.0,672,7,2,25,453,2
129,2023-02-13,1676286030.0,2,18,2,33,605,1
130,2022-03-10,1646874296.0,91,12,2,32,478,1
131,2021-03-30,1617105580.0,986,7,2,34,706,2
132,2021-08-10,1628573379.0,274,18,2,32,478,1
133,2022-11-10,1668084184.0,306,19,2,34,706,2
134,2022-03-12,1647062804.0,141,16,1,9,977,2
135,2022-04-15,1650027898.0,390,15,2,33,605,3
136,2022-12-23,1671806040.0,991,12,3,40,118,3
137,2022-08-10,1660133903.0,740,4,3,30,558,1
138,2022-11-02,1667378658.0,338,19,2,8,631,1
139,2022-08-09,1660047861.0,357,7,2,40,118,0
140,2022-04-23,1650704957.0,27,5,2,39,619,0
141,2022-02-09,1644386621.0,133,18,2,20,375,3
142,2021-07-16,1626405957.0,279,2,1,25,453,3
143,2023-03-12,1678631794.0,880,2,1,3,834,2
144,2021-11-11,1636590141.0,357,20,2,2,455,0
145,2022-11-16,1668593554.0,789,1,2,31,817,3
146,2023-03-18,1679141057.0,711,3,2,28,992,3
147,2022-10-10,1665427297.0,929,12,3,8,631,2
148,2022-03-11,1647039016.0,973,4,2,10,776,3
149,2023-02-08,1675879362.0,578,16,2,21,998,2
150,2022-08-12,1660264682.0,953,4,2,39,619,2
151,2021-04-28,1619576706.0,147,20,2,20,375,3
152,2022-12-22,1671724522.0,766,13,2,33,605,2
153,2022-12-31,1672463787.0,84,16,2,11,155,1
154,2022-04-27,1651027937.0,297,11,2,11,155,2
155,2022-11-02,1667357201.0,597,10,2,12,514,3
156,2021-12-16,1639633889.0,409,11,1,26,427,0
157,2021-09-14,1631577898.0,655,14,2,2,455,1
158,2022-09-27,1664277185.0,810,12,1,8,631,1
159,2021-11-27,1638031669.0,780,8,3,12,514,1
160,2021-11-23,1637670453.0,128,14,2,35,932,1
161,2022-05-11,1652288594.0,845,20,2,24,520,2
162,2021-10-28,1635374780.0,350,10,2,15,499,0
163,2021-10-23,1634957717.0,337,13,2,4,800,0
164,2022-03-02,1646230979.0,766,13,2,20,375,0
165,2022-08-16,1660670115.0,861,1,2,27,992,2
166,2022-04-01,1648820999.0,544,4,2,22,971,3
167,2021-08-17,1629228591.0,997,10,2,25,453,2
168,2023-02-04,1675472967.0,994,13,2,15,499,2
169,2022-08-27,1661608860.0,328,11,1,8,631,3
170,2021-08-19,1629385272.0,900,9,3,33,605,0
171,2022-09-01,1661992349.0,423,10,3,15,499,3
172,2022-11-27,1669567665.0,480,7,2,2,455,0
173,2021-08-24,1629827101.0,527,16,2,27,992,0
174,2021-11-30,1638283348.0,628,16,2,18,414,2
175,2021-06-15,1623741005.0,873,5,2,8,631,3
176,2021-11-28,1638067553.0,786,15,2,25,453,3
177,2021-11-13,1636785796.0,960,17,3,6,161,2
178,2022-02-07,1644202717.0,552,9,1,30,558,2
179,2023-01-23,1674509394.0,848,10,2,14,172,0
180,2021-08-03,1627952233.0,895,6,2,11,155,1
181,2021-10-05,1633423098.0,818,8,2,20,375,3
182,2022-07-05,1657001641.0,700,12,2,9,977,2
183,2022-10-24,1666644265.0,415,2,2,7,957,1
184,2022-11-23,1669180372.0,795,19,2,9,977,1
185,2022-09-20,1663687637.0,785,14,1,35,932,1
186,2021-11-18,1637275183.0,66,18,2,18,414,1
187,2022-02-18,1645214635.0,70,17,2,17,508,0
188,2023-01-18,1674014232.0,476,15,3,14,172,0
189,2021-04-21,1619020688.0,66,18,2,24,520,1
190,2021-12-08,1638959785.0,242,8,2,9,977,2
191,2022-02-15,1644892970.0,473,1,2,38,972,3
192,2022-11-03,1667491639.0,153,11,2,38,972,2
193,2021-09-22,1632336940.0,450,15,1,17,508,3
194,2022-10-14,1665765657.0,647,9,3,30,558,1
195,2022-07-16,1657975798.0,967,20,2,5,928,2
196,2022-07-05,1657046315.0,320,16,1,28,992,0
197,2022-08-22,1661159474.0,10,9,2,12,514,0
198,2022-06-03,1654279518.0,150,3,2,31,817,3
199,2022-11-10,1668063211.0,101,15,2,3,834,1
200,2023-01-01,1672582830.0,851,1,2,28,992,2
201,2022-11-03,1667493438.0,935,15,1,18,414,1
202,2022-05-04,1651644663.0,876,6,2,13,319,2
203,2022-10-19,1666156744.0,484,3,2,27,992,1
204,2022-08-06,1659761640.0,515,19,2,25,453,2
205,2022-02-21,1645409188.0,225,10,2,37,263,3
206,2022-06-26,1656196223.0,494,9,2,10,776,2
207,2021-09-16,1631791681.0,60,5,2,36,145,3
208,2022-07-16,1657986196.0,579,18,2,14,172,2
209,2022-05-27,1653624519.0,405,19,2,5,928,1
210,2023-01-24,1674585940.0,676,14,2,4,800,3
211,2021-07-19,1626657562.0,409,18,2,30,558,3
212,2021-10-15,1634261629.0,780,8,2,25,453,3
213,2022-12-07,1670433732.0,780,4,2,13,319,2
214,2022-11-09,1668007266.0,318,11,2,25,453,0
215,2021-11-16,1637043387.0,424,14,2,3,834,0
216,2023-02-23,1677148566.0,985,11,2,24,520,1
217,2022-06-01,1654070188.0,584,16,3,39,619,1
218,2021-09-19,1632026637.0,33,19,3,29,160,1
219,2022-05-26,1653563739.0,52,18,2,12,514,2
220,2022-06-16,1655367917.0,965,12,2,2,455,2
221,2023-02-08,1675857846.0,716,20,2,12,514,1
222,2021-10-14,1634180063.0,174,15,3,12,514,2
223,2022-03-31,1648753059.0,663,3,2,30,558,2
224,2022-01-28,1643378096.0,425,19,2,32,478,3
225,2022-08-03,1659519820.0,72,6,2,19,930,2
226,2023-01-31,1675156879.0,312,10,1,20,375,3
227,2023-01-29,1674969398.0,114,8,2,27,992,0
228,2022-08-30,1661848951.0,580,8,2,1,592,3
229,2022-11-25,1669401730.0,945,16,2,33,605,2
230,2022-11-08,1667870784.0,724,19,3,8,631,2
231,2022-05-15,1652628386.0,861,9,2,14,172,0
232,2021-11-25,1637813660.0,593,16,2,11,155,2
233,2021-12-07,1638882087.0,612,19,1,11,155,3
234,2022-09-30,1664491032.0,725,5,2,33,605,0
235,2022-10-21,1666317593.0,48,15,1,18,414,0
236,2022-08-28,1661655152.0,231,12,1,6,161,0
237,2022-04-14,1649925466.0,679,5,2,25,453,2
238,2022-03-23,1648048068.0,399,20,2,9,977,3
239,2022-12-14,1671031243.0,556,2,2,10,776,0
240,2022-12-24,1671916555.0,597,18,3,23,746,0
241,2022-04-18,1650283541.0,653,10,1,7,957,0
242,2021-11-20,1637379662.0,960,5,3,13,319,1
243,2022-01-24,1642979526.0,519,9,1,9,977,1
244,2022-08-06,1659766596.0,955,13,3,28,992,1
245,2022-10-31,1667235014.0,838,3,2,27,992,0
246,2022-08-27,1661631744.0,88,7,2,22,971,3
247,2021-11-15,1636945619.0,54,15,3,35,932,1
248,2022-07-16,1657965887.0,948,10,1,13,319,0
249,2023-01-14,1673680366.0,754,12,3,34,706,2
250,2021-10-21,1634847841.0,397,10,1,8,631,1
251,2022-07-14,1657799753.0,118,1,2,39,619,2
252,2022-12-19,1671429552.0,41,2,2,16,126,3
253,2021-12-02,1638414356.0,333,14,1,11,155,0
254,2021-12-12,1639290516.0,544,2,3,18,414,0
255,2022-08-01,1659358446.0,180,20,2,26,427,1
256,2022-06-27,1656329069.0,625,14,2,18,414,1
257,2022-01-23,1642974036.0,194,10,2,30,558,3
258,2022-09-04,1662291879.0,954,15,2,25,453,3
259,2023-03-02,1677744009.0,917,17,1,36,145,3
260,2022-02-13,1644756877.0,740,2,2,24,520,1
261,2022-09-11,1662893570.0,165,19,2,31,817,0
262,2021-07-28,1627426876.0,958,3,2,20,375,3
263,2022-03-15,1647305282.0,62,2,3,29,160,0
264,2022-01-29,1643422165.0,743,19,2,16,126,0
265,2022-05-06,1651803331.0,5,12,2,24,520,0
266,2022-12-06,1670289321.0,626,15,2,33,605,2
267,2023-03-10,1678409423.0,903,16,2,21,998,1
268,2022-04-07,1649364855.0,972,14,2,36,145,2
269,2022-08-16,1660626005.0,704,14,2,10,776,3
270,2022-03-12,1647050694.0,939,14,2,24,520,3
271,2022-03-18,1647597280.0,113,9,2,3,834,2
272,2022-10-06,1665089012.0,61,19,2,29,160,0
273,2022-03-12,1647075725.0,407,13,2,1,592,3
274,2022-10-01,1664591539.0,173,2,2,37,263,1
275,2022-06-18,1655539394.0,95,11,1,14,172,1
276,2022-05-14,1652534428.0,115,16,2,30,558,2
277,2021-10-04,1633302842.0,524,4,2,12,514,3
278,2022-02-11,1644536334.0,993,13,3,6,161,0
279,2023-01-15,1673815981.0,208,1,1,38,972,2
280,2022-03-31,1648693068.0,415,2,2,28,992,2
281,2022-11-03,1667508459.0,45,15,3,20,375,2
282,2022-01-22,1642853788.0,709,6,2,14,172,2
283,2021-10-08,1633686395.0,5,12,2,29,160,2
284,2022-09-03,1662237365.0,192,12,3,23,746,0
285,2022-02-06,1644106144.0,271,7,1,30,558,1
286,2022-08-02,1659404293.0,350,15,2,29,160,1
287,2022-02-27,1645952226.0,168,19,3,9,977,3
288,2023-01-25,1674678339.0,797,3,1,24,520,2
289,2022-07-13,1657665229.0,170,2,2,27,992,2
290,2023-02-06,1675669708.0,291,8,2,19,930,3
291,2023-01-22,1674380199.0,177,2,2,6,161,3
292,2022-08-22,1661121580.0,567,6,3,33,605,2
293,2021-11-12,1636738482.0,219,7,2,7,957,3
294,2022-02-13,1644785433.0,303,3,1,30,558,0
295,2022-10-06,1665063835.0,876,6,1,9,977,2
296,2021-12-15,1639609045.0,658,11,3,30,558,0
297,2022-11-22,1669107562.0,633,3,2,8,631,3
298,2022-11-09,1668031385.0,563,5,2,2,455,0
299,2023-02-07,1675762029.0,982,2,3,13,319,3
300,2023-01-11,1673399677.0,189,12,2,10,776,2
301,2021-05-06,1620275223.0,351,15,2,6,161,0
302,2022-12-22,1671686738.0,616,19,2,24,520,0
303,2022-04-29,1651216062.0,15,17,2,27,992,2
304,2021-07-04,1625397277.0,740,4,2,31,817,1
305,2022-05-26,1653574555.0,73,2,2,13,319,1
306,2022-01-24,1643029571.0,462,9,2,2,455,2
307,2022-07-15,1657864574.0,285,15,3,17,508,1
308,2021-07-29,1627568928.0,614,7,2,40,118,2
309,2022-12-08,1670466201.0,314,12,2,14,172,3
310,2022-03-03,1646295246.0,825,18,2,4,800,2
311,2021-09-14,1631642396.0,695,7,3,3,834,0
312,2022-05-22,1653249443.0,417,1,2,39,619,3
